slopeL,NADPH_flux,NAD_flux,Fd_flux,F_slip,F_yield,D_to_H1_flux,L1_to_D_flux,FeS_L2_pot
-0.2,-0.0010192586615573,0.0010192524854143,1.2546238868052475e-11,0.7071024878200414,490.5540964693441,1.346998510278095e-07,2.358721484917051e-07,-1.311
-0.1999599959995999,-0.0010192585530717,0.001019251942787,1.258549975111093e-11,0.7071021866101445,490.5542531459204,1.346997563981969e-07,2.358719815324039e-07,-1.3109199919991998
-0.1999199919991999,-0.0010192583960844,0.0010192512050806,1.2624877844854155e-11,0.7071017837130829,490.5544684387488,1.346996015079935e-07,2.358717107493877e-07,-1.3108399839984
-0.1998799879987998,-0.0010192585025379,0.001019251800799,1.2664405416688828e-11,0.7071021231095567,490.5542994560593,1.34699725824239e-07,2.3587192902262241e-07,-1.3107599759976
-0.1998399839983998,-0.0010192584697961,0.0010192516696364,1.2704042568682032e-11,0.7071020548033343,490.5543388890469,1.3469969992987113e-07,2.358718873274324e-07,-1.3106799679967998
-0.1997999799979998,-0.0010192585468189,0.0010192520289753,1.2743813364761282e-11,0.7071022506305078,490.55423387186687,1.3469977529576044e-07,2.358720192970087e-07,-1.3105999599959997
-0.1997599759975997,-0.0010192586321267,0.0010192523475514,1.2783707249035596e-11,0.7071024124312413,490.55413667026863,1.3469983573341374e-07,2.3587211967946602e-07,-1.3105199519951996
-0.1997199719971997,-0.0010192585357202,0.0010192520362431,1.2823714503154319e-11,0.7071022633166382,490.5542347745088,1.3469977531350745e-07,2.358720194932764e-07,-1.3104399439943994
-0.1996799679967996,-0.0010192587301531,0.0010192528570832,1.2863868999614016e-11,0.7071026978545151,490.5539904461751,1.3469994547799138e-07,2.3587231783248346e-07,-1.3103599359935991
-0.1996399639963996,-0.0010192586103556,0.0010192520333313,1.2904116061060001e-11,0.7071022094634469,490.55421749534634,1.3469976964996405e-07,2.358720045019317e-07,-1.3102799279927997
-0.1995999599959996,-0.001019258500392,0.0010192516357055,1.2944498478368308e-11,0.7071020098716357,490.5543396337288,1.3469969194771194e-07,2.3587186729210805e-07,-1.3101999199919994
-0.1995599559955995,-0.001019258611592,0.0010192521797125,1.2985025907848008e-11,0.7071023101003798,490.55418195268174,1.3469980744548673e-07,2.3587207608288354e-07,-1.3101199119911993
-0.1995199519951995,-0.0010192585497605,0.0010192519137931,1.3025663587999112e-11,0.7071021684875235,490.5542608140036,1.3469975103848301e-07,2.35871971658141e-07,-1.3100399039903992
